30d(August 21 - September 19),marketplace_icon_url,marketplace_offcial_site_url,volume_usd,Volumes （ETH）,No of Sales （Sales）,trader_num,Owners  （Buyers）,seller_num,fee_rates,Fee Rate,thirty days,Volume,No of  Sales,Owners
Blur,https://static.nftgo.io/marketplace/Blur.svg,https://blur.io/,196808332.31602946,119978.02627173788,119506.0,29726.0,18452.0,18375.0,"[{'title': None, 'min_value': 0.0, 'max_value': 0.0, 'unit': '%'}]",0.0 %,,,,
OpenSea,https://static.nftgo.io/marketplace/Opensea.svg,https://opensea.io/,79898128.85770555,48624.6543015287,305465.0,115551.0,62901.0,70915.0,"[{'title': None, 'min_value': 2.5, 'max_value': 2.5, 'unit': '%'}]",2.5 %,,,,
LooksRare,https://static.nftgo.io/marketplace/Looksrare.svg,https://looksrare.org/,79433190.52395827,48327.05306216901,3528.0,1500.0,955.0,698.0,"[{'title': None, 'min_value': 0.5, 'max_value': 0.5, 'unit': '%'}]",0.5 %,,,,
Blur Aggregator,https://static.nftgo.io/marketplace/Blur.svg,https://blur.io/,50008493.500620656,30354.07731047696,66550.0,32386.0,14426.0,22688.0,"[{'title': None, 'min_value': 0.0, 'max_value': 0.0, 'unit': '%'}]",0.0 %,,,,
X2Y2,https://static.nftgo.io/marketplace/X2Y2.svg,https://x2y2.io/,42080305.69205407,25548.319990136413,4481.0,1935.0,1134.0,1008.0,"[{'title': None, 'min_value': 0.5, 'max_value': 0.5, 'unit': '%'}]",0.5 %,,,,
OpenSea Pro,https://static.nftgo.io/marketplace/OpenseaPro.svg,https://pro.opensea.io/,12071221.009296032,7349.9977646326715,46028.0,23735.0,10184.0,16029.0,"[{'title': None, 'min_value': 0.0, 'max_value': 0.0, 'unit': '%'}]",0.0 %,,,,
Alienswap,https://static.nftgo.io/marketplace/AlienSwap.svg,https://alienswap.xyz,10568908.964487603,6488.518963655699,1103.0,188.0,117.0,98.0,"[{'title': None, 'min_value': 0.5, 'max_value': 0.5, 'unit': '%'}]",0.5 %,,,,
CryptoPunks,https://static.nftgo.io/marketplace/CryptoPunks.svg,https://www.larvalabs.com/cryptopunks/forsale,9257257.64474783,5631.6830000019645,101.0,111.0,58.0,63.0,"[{'title': None, 'min_value': 0.0, 'max_value': 0.0, 'unit': '%'}]",0.0 %,,,,
Reservoir,https://static.nftgo.io/marketplace/Reservoir.svg,https://marketplace.reservoir.tools/,5807918.470784646,3562.490118577528,2925.0,1808.0,949.0,943.0,"[{'title': None, 'min_value': 0.0, 'max_value': 0.0, 'unit': '%'}]",0.0 %,,,,
NFTX,https://static.nftgo.io/marketplace/NFTx.svg,https://nftx.io/,2025126.7219973342,1239.920594560491,1850.0,475.0,324.0,239.0,,--,,,,
,,,,,,,,,,--,Nifty Gateway,121571.79482483931,10129.0,214397.0
